REFID,OLDREFID,LASTUPDATE,OPERATOR,SITENAME,TECHTYPE,STORTYPE,STCOLREFID,INSTCAP,CHPENAB,ROBAND,FITTARIFF,CFDCAP,TURBCAP,TURBNUM,TURBHT,MOUNTTYPE,DEVSTAT,DEVSTATSHT,ADDRESS,COUNTY,REGION,COUNTRY,POSTCODE,EASTING,NORTHING,PLANAUTH,PLANAPPREF,APPEALREF,SOSREF,SOSINTTYPE,JUDREV,OFFWINDRND,PLANAPPSUB,PLANAPPWD,PLANPREFU,APPEALLODG,APPEALWD,APPEALREFU,APPEALGR,PLANPGR,SOSINT,SOSREFU,SOSGR,PLANPEXP,UNDERCONST,OPDATE,LAT,LNG,OPFLAG,GEOSRC
2486,N00546W,4/6/2019,Blyth Harbor Wind Ltd,Blyth Offshore ,Wind Offshore,,,4.0,,,,,2.00,2,,,Decommissioned,Decommissioned,1km off Blyth Harbour ,Offshore,Offshore,England,,432608,582536,DECC (S36),,,,,,,,,,,,,,22/9/1998,,,,,1/8/2000,1/12/2000,55.136125,-1.490082,N,REPD
2487,N00445W,27/2/2018,Orsted (formerly Dong Energy),Burbo Bank,Wind Offshore,,,90.0,,,,,3.60,25,,,Operational,Operational,"Burbo Flats, Liverpool Bay, approximately 6.4km (4.0 miles) from the Sefton coastline and 7.2km (4.5 miles) from North Wirral.",Offshore,Offshore,England,,321476,399706,DECC (S36),,,,,,1,12/4/2002,,,,,,,14/7/2006,,,,,1/8/2006,18/10/2007,53.488200,-3.184921,Y,REPD
2488,A0438,20/11/2017,Orsted (formerly Dong Energy),Gunfleet Sands - (Demo) Extension,Wind Offshore,,,12.0,,,,,6.00,2,,,Operational,Operational,off the Essex coast,Offshore,Offshore,England,,620650,205297,DECC (S36),,,,,,Demo,,,,,,,,17/4/2012,,,,,15/5/2012,19/4/2013,51.702500,1.193671,Y,REPD
2489,N00457W,20/11/2017,Orsted (formerly Dong Energy),Gunfleet Sands II ,Wind Offshore,,,64.8,,,,,3.60,18,,,Operational,Operational,5 Miles from the Essex coast at Frinton-on-Sea,Offshore,Offshore,England,,624262,208150,DECC (S36),,,,,,2,18/6/2007,,,,,,,28/2/2008,,,,,1/4/2009,24/7/2009,51.726786,1.247345,Y,REPD
2490,01041W4,1/5/2018,Orsted (formerly Dong Energy),Gunfleet Sands Offshore Wind Scheme,Wind Offshore,,,108.0,,,,,3.60,30,,,Operational,Operational,Gunfleet Sands 4 miles offshore from Holland-on-Sea Nr Clacton-on-Sea Essex,Offshore,Offshore,England,,622317,208468,DECC (S36),,,,,,1,1/3/2002,,,,,,,1/3/2004,,,,,1/4/2009,24/7/2009,51.730793,1.218161,Y,REPD
2491,N00562W,24/8/2017,Green Investment Bank ,Inner Dowsing ,Wind Offshore,,,97.2,,,,,3.60,27,,,Operational,Operational,5.2km Ingoldmells ,Offshore,Offshore,England,,563561,368447,DECC (S36),,,,,,1,11/9/2002,,,,,,,23/9/2003,,,,,1/3/2008,20/4/2008,53.187994,0.446522,Y,REPD
2492,N00439W,27/10/2017,Vattenfall,Kentish Flats ,Wind Offshore,,,90.0,,,,,3.00,30,,,Operational,Operational,"Saltend, Thames Estuary, North Sea",Offshore,Offshore,England,,615015,178055,DECC (S36),,,,,,1,15/8/2002,,,,,,,1/3/2003,,,,,1/6/2004,10/9/2005,51.460504,1.094205,Y,REPD
2493,N00437W,24/8/2017,Green Investment Bank ,Lynn,Wind Offshore,,,97.2,,,,,3.60,27,,,Operational,Operational,5.2km Skegness ,Offshore,Offshore,England,,564095,362638,DECC (S36),,,,,,1,29/10/2003,,,,,,,14/8/2004,,,,,1/3/2008,15/3/2008,53.135661,0.451531,Y,REPD
2494,N00436W,23/8/2017,Greencoat (formerly Npower Renewables),North Hoyle ,Wind Offshore,,,60.0,,,,,2.00,30,,,Operational,Operational,7.5km Prestatyn & Rhyl ,Offshore,Offshore,Wales,,303823,392138,DECC (S36),,,,,,1,5/4/2001,,,,,,,31/7/2002,,,,,3/4/2003,1/12/2003,53.417253,-3.448522,Y,REPD
2495,N00434W,23/8/2017,RWE Npower,Rhyl Flats ,Wind Offshore,,,90.0,,,,,3.60,25,,,Operational,Operational,"8km Abergele, five miles off the North Wales coast in Liverpool Bay",Offshore,Offshore,Wales,,290990,388002,DECC (S36),,,,,,1,25/3/2002,,,,,,,1/1/2003,,,,,1/9/2007,28/12/2009,53.377604,-3.640153,Y,REPD
2496,N00561W,18/8/2017,E.ON UK,Robin Rigg East,Wind Offshore,,,90.0,,,,,3.00,30,,,Operational,Operational,9.5km Maryport/8.5km off Rock Cliffe ,Offshore,Offshore,Scotland,,291005,542348,Scottish Government (S36),,,,,,1,14/6/2002,,,,,,,16/6/2003,,,,,1/12/2006,28/4/2010,54.764117,-3.694208,Y,REPD
2497,N00462W,18/8/2017,E.ON UK,Robin Rigg West,Wind Offshore,,,84.0,,,,,3.00,28,,,Operational,Operational,9.5km Maryport/8.5km off Rock Cliffe ,Offshore,Offshore,Scotland,,288785,540522,Scottish Government (S36),,,,,,1,14/6/2002,,,,,,,16/6/2003,,,,,1/12/2006,18/7/2009,54.747226,-3.727999,Y,REPD
2498,N00438W,29/2/2016,E.ON UK,Scroby Sands ,Wind Offshore,,,60.0,,,,,2.00,30,,,Operational,Operational,"3km NE Great Yarmouth, Norfolk",Offshore,Offshore,England,,656417,311874,DECC (S36),,,,,,1,5/3/2001,,,,,,,1/12/2002,,,,,1/10/2003,1/3/2004,52.643973,1.788926,Y,REPD
2499,N00452W,1/5/2018,Vattenfall,Thanet ,Wind Offshore,,,300.0,,,,,3.00,100,,,Operational,Operational,11km off North Foreland Kent,Offshore,Offshore,England,,652658,176367,DECC (S36),,,,,,2,8/11/2005,,,,,,,18/12/2006,,,,,1/11/2009,16/9/2010,51.429383,1.635214,Y,REPD
2500,N00550W,3/9/2020,Orsted (formerly Dong Energy),Walney 1,Wind Offshore,,,183.6,,,,,3.60,51,,,Operational,Operational,"14km off Walney Island, Irish Sea",Offshore,Offshore,England,,300833,461449,DECC (S36),,,,,,2,31/3/2006,,,,,,,7/11/2007,,,,,10/3/2010,30/5/2011,54.039284,-3.514483,Y,REPD
2502,A0249,3/9/2020,Orsted (formerly Dong Energy),Hornsea 2 - Optimus and Breesea,Wind Offshore,,,1800.0,,,,,8.48,165,,,Under Construction,Under Construction,"The Wash, Sutton Bridge",Offshore,Offshore,England,,632326,457349,The Planning Inspectorate - National Infrastructure,EN010053,,,,,3,30/1/2015,,,,,,,16/8/2016,,,,,1/9/2019,,53.959745,1.541901,N,REPD
2504,A0371,28/6/2016,Vattenfall,Kentish Flats 2,Wind Offshore,,,49.5,,,,,3.30,15,,,Operational,Operational,Kentish Flats Offshore extension,Offshore,Offshore,England,,614105,176834,The Planning Inspectorate - National Infrastructure,EN010036,,,,,2.5,1/6/2012,,,,,,,19/2/2013,,,,,26/11/2014,14/9/2015,51.449999,1.080029,Y,REPD
2505,A0440,30/4/2019,Vattenfall,European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),Wind Offshore,,,93.2,,,,,8.40,11,,,Operational,Operational,,Offshore,Scotland,Scotland,,395693,806148,Scottish Government (S36),,,,,,Demo,31/8/2011,,,,,,,26/3/2013,,,,,7/4/2018,7/9/2018,57.146184,-2.072820,Y,REPD
2506,AA183,3/9/2020,Orsted (formerly Dong Energy),Walney 2,Wind Offshore,,,183.6,,,,,3.60,51,,,Operational,Operational,"14km off Walney Island, Irish Sea",Offshore,Offshore,England,,294836,466177,DECC (S36),,,,,,2,31/3/2006,,,,,,,7/11/2007,,,,,9/4/2011,6/4/2012,54.080577,-3.607670,Y,REPD
2507,B0551,9/1/2015,London Array Ltd,London Array Phase 2,Wind Offshore,,,240.0,,,,,2.93,341,,,Abandoned,Abandoned,12 miles (20km) off the Kent and Essex coasts,Offshore,Offshore,England,,611280,179120,DECC (S36)/Marine Management Organisation,,,,,,2,25/10/2011,,,,,,,,,,,,,,51.471161,1.042142,N,REPD
2508,EN00407,26/11/2013,Npower,Atlantic Array One - Bristol Channel Zone,Wind Offshore,,,1200.0,,,,,5.00,240,,,Planning Application Withdrawn,Application Withdrawn,"Between Ilfracombe in North Devon and Swansea, The nearest turbine to land would be 13 miles off shore.",Offshore,Offshore,England,,221400,166500,DECC (S36),,,,,,3,12/7/2013,25/11/2013,,,,,,,,,,,,,51.368935,-4.566097,N,REPD
2509,N00435W,23/8/2017,Vattenfall,Ormonde Offshore,Wind Offshore,,,150.0,,,,,5.00,30,,,Operational,Operational,"10km off Barrow on Furness, Heysham",Offshore,Offshore,England,,306000,466842,DECC (S36),,,,,,1,12/7/2005,,,,,,,4/9/2008,,,,,1/6/2010,22/2/2012,54.088712,-3.437273,Y,REPD
2510,N00443W,2/10/2019,Airtricity / Fluor Ltd,Greater Gabbard Wind Farm,Wind Offshore,,,504.0,,,,,3.60,140,,,Operational,Operational,Near the Suffolk Coast (26km out to sea),Offshore,Offshore,England,,670237,231640,DECC (S36),,,,,,2,17/10/2005,,,,,,,20/2/2007,,,,,1/7/2009,7/9/2012,51.917147,1.930279,Y,REPD
2511,N00447W,6/11/2018,Siemens Gamesa Renewable Energy,London Array Phase 1,Wind Offshore,,,630.0,,,,,3.60,175,,,Operational,Operational,12 miles (20km) off the Kent and Essex coasts,Offshore,Offshore,England,,642078,197218,DECC (S36),,,,,,2,1/6/2005,,15/12/2006,,,,5/9/2007,5/9/2007,,,,,1/3/2011,6/4/2013,51.621155,1.497627,Y,REPD
2512,N00453W,5/11/2019,Vattenfall,Sheringham Shoal ,Wind Offshore,,,317.0,,,,,3.60,88,,,Operational,Operational,"between 17 and 22 kilometres off the Norfolk coast, north of the seaside town of Sheringham.",Offshore,Offshore,England,,610671,364425,DECC (S36),,,,,,2,30/5/2006,,,,,,,7/8/2008,,,,,30/6/2009,29/10/2012,53.134976,1.149749,Y,REPD
2513,N00455W,1/5/2018,GIB,Centrica (Lincs),Wind Offshore,,,270.0,,,,,3.60,75,,,Operational,Operational,8 Km of Skegness,Offshore,Offshore,England,,567020,368144,DECC (S36),,,,,,2,24/1/2007,,,,,,,21/10/2008,,,,,1/3/2010,24/7/2013,53.183850,0.499812,Y,REPD
2514,N00460W,18/5/2015,EDF Energy - Northern Offshore Windfarm Ltd,Teeside Offshore Wind Farm,Wind Offshore,,,62.1,,,,,2.30,27,,,Operational,Operational,"Coast of Coatham Sands at Redcar, the nearest within a mile of the beach",Offshore,Offshore,England,,458470,528174,DECC (S36),R/2004/0305/FF,,,,,1,22/3/2005,,,,,,,17/9/2007,,,,,1/2/2012,31/8/2013,54.645307,-1.095479,Y,REPD
2515,N00463W,20/8/2020,Orsted (formerly Dong Energy)/ Macquarie Group,Race Bank (Phase 1),Wind Offshore,,,286.5,,,,,6.00,46,154,,Operational,Operational,"Race Bank
Greater Wash",Offshore,Offshore,England,,573300,363000,DECC (S36),,,,,,2,23/1/2009,,,,,,,6/7/2012,,,,,7/7/2016,8/6/2017,53.135641,0.590935,Y,REPD
2516,N00559W,6/7/2012,Centrica,Docking Shoal A,Wind Offshore,,,540.0,,,,,5.00,108,,,Planning Permission Refused,Application Refused,17km off the North Norfolk Coast,Offshore,Offshore,England,,588560,366879,DECC (S36),,,,,,2,9/12/2008,,6/7/2012,,,,,,,,,,,,53.165292,0.821075,N,REPD
2517,A0476,12/4/2022,"SSE/Equinor (formerly Statoil, formerly Forewind)",Dogger Bank C (was Teesside A),Wind Offshore,,,1200.0,No,,,1200.0,6.00,200,,,Planning Permission Granted,Awaiting Construction,125km off coast of Yorkshire,Offshore,Offshore,England,,675550,599192,The Planning Inspectorate - National Infrastructure,EN010051,,,,,3,28/3/2014,,,,,,,5/8/2015,,,,,,,55.210009,2.330096,N,REPD
2519,N00449W,20/8/2020,Scottish Power Renewables & Orsted (formerly Dong Energy),West of Duddon Sands,Wind Offshore,,,389.0,,,,,3.60,108,,,Operational,Operational,"Off Duddon Sands, Cumbria. East Irish Sea",Offshore,Offshore,England,,304230,455334,DECC (S36),,,,,,2,1/4/2006,,,,,,,4/9/2008,,,,,21/5/2013,30/10/2014,53.984978,-3.460696,Y,REPD
2520,A0251,6/12/2019, E.ON UK,Rampion Offshore Wind Farm (Hastings Zone),Wind Offshore,,,400.0,,,,,5.00,116,140,,Operational,Operational,off the Sussex coastline,Offshore,Offshore,England,,528790,83836,The Planning Inspectorate - National Infrastructure,EN010032,,,,,3,25/3/2013,,,,,,,16/7/2014,,,,,25/1/2016,26/11/2017,50.639384,-0.178437,Y,REPD
2521,A0275,31/5/2019,Scottish & Southern Energy (SSE) / Repsol / CIP,Beatrice,Wind Offshore,,,588.0,,,,664.0,7.00,84,,,Operational,Operational,Offshore Scottish borders,Offshore,Offshore,Scotland,,344074,911416,Scottish Government (S36),,,,,,STW,25/4/2012,,,,,,,19/3/2014,,,,,2/4/2017,5/8/2019,58.088540,-2.948601,Y,REPD
2522,A0277,25/6/2019,EDF Renewables Power,Neart na Gaoithe,Wind Offshore,,,450.0,,,,448.0,7.00,54,,,Planning Permission Granted,Awaiting Construction,"Offshore Scottish borders (15KM off Forth Estuary, Kirkcaldy, Fife, KY1)",Offshore,Offshore,Scotland,,384615,708641,Marine Scotland,,,,,19/7/2016,STW,30/7/2012,,,,,,,16/5/2017,,,,,,,56.270082,-2.248441,N,REPD
2523,A0439,4/7/2018,EDF Energy Renewables,Blyth Offshore Wind Test Site,Wind Offshore,,,41.5,,,,,8.30,5,,,Operational,Operational,between 1.8km and 13.8km off the east coast of Blyth in Northumberland,Offshore,Offshore,England,,440591,586033,DECC (S36)/Marine Management Organisation,,,,,,Demo,1/3/2012,,,,,,,8/11/2013,,,,,22/10/2016,22/10/2017,55.166958,-1.364376,Y,REPD
2524,B0262,20/8/2020,Scottish Power Renewables,East Anglia 1 (EA 1),Wind Offshore,,,714.0,,,,714.0,7.00,102,,,Operational,Operational,"Offshore, East of England",Offshore,Offshore,England,NR32,685500,257000,The Planning Inspectorate - National Infrastructure,ENO10025,,,,,3,21/11/2012,,,,,,,17/6/2014,,,,,24/5/2018,28/7/2020,52.137392,2.170968,Y,REPD
2525,B0263,3/9/2020,Orsted (formerly Dong Energy),Hornsea 1 - Heron & Njord,Wind Offshore,,,1200.0,,,,1200.0,7.00,174,,,Operational,Operational,,Offshore,Offshore,England,,626000,426000,The Planning Inspectorate - National Infrastructure,EN010033,,,,,3,30/7/2013,,,,,,,10/12/2014,,,,,26/1/2018,2/6/2020,53.681258,1.422626,Y,REPD
2526,A0370,2/10/2019,RWE Npower Renewables,Galloper Wind Farm,Wind Offshore,,,353.0,,,,,6.30,56,,,Operational,Operational,"30 km from Suffolk coastline, South East Of Sizewell And Aldeburgh",Offshore,Offshore,England,,678139,227875,The Planning Inspectorate - National Infrastructure,EN010003,,,,,2.5,21/11/2011,,,,,,,24/5/2013,,,,,29/7/2016,30/3/2018,51.879940,2.040058,Y,REPD
2527,A0017,2/7/2020,Red Rock Power (ICOL),Inch Cape,Wind Offshore,,,1000.0,,,,,7.12,72,250,,Planning Permission Granted,Awaiting Construction,Offshore - Scottish Borders (15-22 KM off the east Angus coastline),Offshore,Offshore,Scotland,,387786,734231,Marine Scotland,,,,,,STW,4/7/2013,,,,,,,16/5/2017,,,,,,,56.500104,-2.198427,N,REPD
2528,B0258,8/11/2018,Catapult,Levenmouth demonstration turbine (Fife Energy Park),Wind Offshore,,,7.0,,,,,6.00,1,,,Operational,Operational,Fife Energy Park (Test Site) off the coast of Methil in Fife,Offshore,Offshore,Scotland,,340600,696860,Scottish Government (S36),,,,,,3,2/12/2009,,,,,,,18/11/2011,,,,,8/10/2013,31/3/2014,56.160687,-2.957965,Y,REPD
2532,N00551W,2/3/2022,Innogy,Triton Knoll ,Wind Offshore,,,857.0,,,,,9.50,90,187,,Operational,Operational,"Greater Wash region, approximately 33km off the Lincolnshire coast",Offshore,Offshore,England,,591183,372179,The Planning Inspectorate - National Infrastructure,,,,,,2,24/2/2012,,,,,,,11/7/2013,,,,,10/9/2018,13/1/2022,53.211944,0.863436,Y,REPD
2533,A0374,4/6/2020,Orsted (formerly Dong Energy),Walney 3,Wind Offshore,,,660.0,,,,660.0,6.00,110,222,,Operational,Operational,"14km off Walney Island, Irish Sea",Offshore,Offshore,England,,286289,467410,DECC (S36),,,,,,2.5,30/7/2013,,,,,,,7/11/2014,,,,7/11/2019,1/4/2017,13/9/2018,54.089839,-3.738730,Y,REPD
2534,A0246,3/9/2020,Moray East (formerly MORL)/ EDPR,MacColl Offshore Windfarm (Moray East),Wind Offshore,,,313.5,,,,,9.50,33,,,Under Construction,Under Construction,"Smith Bank, Moray Firth - 13miles off Lybster",Offshore,Offshore,Scotland,,353328,897834,Scottish Government (S36),,,,,,3,28/8/2012,,,,,,,19/3/2014,,,,,6/6/2019,,57.967618,-2.788965,N,REPD
2535,B0265,3/11/2015,Eneco & EDF,Navitus Bay,Wind Offshore,,,970.0,,,,,5.00,121,,,Planning Permission Refused,Application Refused,"off the Dorset and Hampshire coasts, to the west of the Isle of Wight.",Offshore,Offshore,England,,411540,54803,The Planning Inspectorate - National Infrastructure,EN010024,,,,,3,8/5/2014,,11/9/2015,,,,,,,,,,,,50.392386,-1.837637,N,REPD
2536,C0475,3/9/2020,Moray East (formerly MORL)/ EDPR,Telford Offshore Windfarm (Moray East),Wind Offshore,,,313.5,,,,,9.50,33,,,Under Construction,Under Construction,"Smith Bank, Moray Firth - 13miles off Lybster",Offshore,Offshore,Scotland,,353646,924989,Scottish Government (S36),,,,,,3,28/8/2012,,,,,,,19/3/2014,,,,,6/6/2019,,58.211555,-2.788955,N,REPD
2537,C0476,3/9/2020,Moray East (formerly MORL)/ EDPR,Stevenson Offshore Windfarm (Moray East),Wind Offshore,,,323.0,,,,,9.50,34,,,Under Construction,Under Construction,"Smith Bank, Moray Firth - 13miles off Lybster",Offshore,Offshore,Scotland,,331721,907867,Scottish Government (S36),,,,,,3,28/8/2012,,,,,,,19/3/2014,,,,,6/6/2019,,58.054935,-3.157052,N,REPD
2538,N00558W,2/1/2020,Statoil / Statkraft,Dudgeon East ,Wind Offshore,,,402.0,,,,402.0,6.00,67,,,Operational,Operational,Greater wash,Offshore,Offshore,England,,575000,361000,DECC (S36),,,,,,2,12/6/2009,,,,,,,6/7/2012,,,,,17/3/2016,15/10/2017,53.117125,0.615231,Y,REPD
2539,AA066,2/5/2018,Orsted (formerly Dong Energy),Burbo Bank Extension (Burbo Bank 2),Wind Offshore,,,258.0,,,,258.0,8.00,32,,,Operational,Operational,"Burbo Flats, Liverpool Bay, approximately 6.4km (4.0 miles) from the Sefton coastline and 7.2km (4.5 miles) from North Wirral.",Offshore,Offshore,England,,315815,398892,The Planning Inspectorate - National Infrastructure,EN010026,,,,,2.5,22/3/2013,,,,,,,10/12/2014,,,,,10/6/2016,27/4/2017,53.479758,-3.268685,Y,REPD
2540,B0267,21/5/2021,SSE / Seagreen Wind Energy Ltd,Seagreen Phase 1 (Alpha),Wind Offshore,,,525.0,No,,,454.0,9.20,57,,,Under Construction,Under Construction,"Firth of Forth Wind Zone 2, Dundee, Tayside",Offshore,Offshore,Scotland,DD4 0AD,404600,749300,Marine Scotland,,,,,19/7/2016,3,23/10/2012,,,,,,,16/5/2017,,,,,1/5/2021,,56.635634,-1.925001,N,REPD
2541,A0248,12/4/2022,"SSE/Equinor (formerly Statoil, formerly Forewind)",Dogger Bank A & B (was Creyke Beck A & B),Wind Offshore,,,2400.0,,,,2400.0,6.00,400,315,,Planning Permission Granted,Awaiting Construction,125km off coast of Yorkshire,Offshore,Offshore,England,,629000,681000,The Planning Inspectorate - National Infrastructure,EN010021,,,,,3,29/8/2013,,,,,,,17/2/2015,,,,,,,55.967318,1.669963,N,REPD
2543,N00441W,19/8/2020,RWE,Gwynt y Mor ,Wind Offshore,,,576.0,,,,,3.60,160,,,Operational,Operational,Liverpool Bay (13-15km offshore) ,Offshore,Offshore,Wales,,292082,396482,DECC (S36),,,,,,2,1/11/2005,,,,,,,3/12/2008,,,,,1/3/2012,18/6/2015,53.453771,-3.625377,Y,REPD
2544,N00448W,3/10/2016,E.ON Humber Wind Ltd/ Balfour Beatty Investments and Equitix.,Humber Gateway A,Wind Offshore,,,219.0,,,,,3.00,73,,,Operational,Operational,8km from Yorkshire Coast,Offshore,Offshore,England,,566400,390760,DECC (S36),,,,,,2,1/4/2008,,,,,,,9/2/2011,,,,,30/8/2013,30/5/2015,53.387161,0.502406,Y,REPD
2545,N00556W,5/4/2018,Orsted (formerly Dong Energy),Westermost Rough A,Wind Offshore,,,210.0,,,,,6.00,35,,,Operational,Operational,25 km north of Spurn Head at the River Humber estuary.,Offshore,Offshore,England,,571600,358680,DECC (S36),,,,,,2,17/11/2009,,,,,,,29/11/2011,,,,,28/2/2014,26/5/2015,53.097393,0.563237,Y,REPD
2546,N00461W,20/11/2017,Orsted (formerly Dong Energy),Barrow ,Wind Offshore,,,90.0,,,,,3.00,30,,,Operational,Operational,"7km Walney Island, near Barrow-in-Furness",Offshore,Offshore,England,,314978,455827,DECC (S36),,,,,,1,10/5/2002,,,,,,,12/3/2003,,,,,1/5/2005,1/4/2006,53.991463,-3.298220,Y,REPD
5863,,22/8/2019,Cierco,Forth of Firth (Methil),Wind Offshore,,,29.9,,,,,6.00,2,121,,Planning Permission Granted,Awaiting Construction,Forth of Firth,Offshore,Offshore,Scotland,,338141,696278,Marine Scotland,,,,,,,6/7/2015,,,,,,,21/12/2016,,,,,,,56.155146,-2.997414,N,REPD
5867,,1/4/2022,Scottish Power Renewables,East Anglia 2 (EA 2),Wind Offshore,,,900.0,,,,,12.00,75,282,,Planning Permission Granted,Awaiting Construction,37km offshore from Lowestoft,Offshore,Offshore,England,NR32,681603,321858,The Planning Inspectorate - National Infrastructure,EN010078,,,,,,15/10/2019,,,,,,,31/3/2022,,,,,,,52.720954,2.168781,N,REPD
6136,,2/3/2022,Kincardine Offshore Wind,Kincardine Offshore Windfarm,Wind Offshore,,,50.0,,,,,9.50,6,176,,Operational,Operational,"Kincardine Offshore Windfarm, Laurencekirk, Grampian",Offshore,Offshore,Scotland,,407766,789575,Marine Scotland,APP/2016/1726,,,,,Demo,16/6/2016,,,,,,,7/3/2017,,,,,1/10/2018,19/10/2021,56.997444,-1.872156,Y,REPD
6158,,8/12/2021,EDPR,Moray West Offshore - 85 Wind Turbines,Wind Offshore,,,860.0,No,,,,10.00,85,230,,Planning Permission Granted,Awaiting Construction,"Smith Bank, Moray Firth - 22.5 km off Lybster",Highland,Scotland,Scotland,KW2,322637,909733,Scottish Government (S36),18/03309/S35,,,,,,15/7/2018,,,,,,,14/6/2019,,,,13/6/2044,,,58.070201,-3.311560,N,REPD
6264,,6/12/2019,Hexicon AB/ Dounreay Tri,Dounreay Trì Floating Wind Demonstration,Wind Offshore,,,10.0,,,,,5.00,2,201,,Under Construction,Under Construction,"Development Site 9KM NW Of, Dounreay, Nuclear Research Establishment, Thurso",Highland,Scotland,Scotland,KW14 7TY,291337,980477,Marine Scotland,16/04775/S36,,,,,,17/10/2016,,,,,,,16/3/2017,,,,,31/3/2017,,58.698747,-3.875345,N,REPD
